#Chart Recorder Data File Fri, Nov 03, 2017 1:17 PM
#CH1 (V)  	CH2 (V)  
0.868691036	0.461071464
0.867733511	0.462651129
0.868052686	0.461703330
0.867414336	0.461387397
0.868052686	0.462019263
0.868371861	0.461703330
0.868691036	0.461703330
0.868371861	0.462019263
0.868371861	0.462019263
0.868371861	0.461387397
0.867733511	0.452541273
0.868371861	0.451593474
0.867733511	0.450961608
0.868691036	0.451909407
0.868691036	0.450329742
0.867414336	0.451593474
0.868691036	0.451593474
0.867733511	0.451593474
0.867733511	0.451909407
0.868371861	0.451909407
0.868052686	0.450329742
0.867414336	0.451593474
0.867733511	0.452225340
0.867414336	0.451593474
0.867414336	0.450329742
0.867733511	0.451909407
0.867414336	0.451909407
0.867414336	0.450329742
0.867733511	0.452541273
0.867733511	0.451593474
0.868052686	0.456964335
0.867733511	0.458228067
0.867733511	0.457280268
0.868052686	0.458859933
0.867095161	0.456964335
0.867414336	0.458859933
0.867733511	0.458544000
0.867733511	0.458228067
0.868371861	0.459175866
0.868052686	0.457280268
0.866775986	0.465494526
0.867414336	0.465494526
0.866456811	0.466126392
0.865818461	0.465494526
0.866137636	0.467074191
0.866137636	0.465810459
0.866137636	0.465810459
0.866456811	0.465810459
0.866456811	0.466126392
0.867095161	0.466442325
0.867095161	0.468653856
0.866775986	0.467706057
0.867414336	0.468653856
0.867095161	0.468337923
0.866775986	0.468969789
0.867095161	0.467706057
0.867414336	0.469285722
0.867414336	0.468021990
0.866775986	0.467706057
0.866137636	0.468653856
0.866775986	0.462967062
0.867095161	0.462019263
0.866775986	0.461387397
0.866456811	0.462019263
0.866775986	0.462019263
0.866456811	0.462019263
0.866775986	0.461071464
0.867095161	0.462651129
0.866775986	0.462019263
0.866775986	0.462651129
0.866456811	0.452857206
0.866137636	0.452225340
0.866456811	0.453173139
0.867095161	0.452857206
0.866456811	0.452225340
0.867095161	0.452857206
0.867095161	0.452857206
0.867095161	0.453173139
0.866775986	0.452225340
0.866456811	0.453489072
0.866456811	0.451277541
0.867095161	0.452541273
0.866775986	0.452541273
0.867414336	0.451909407
0.866137636	0.452225340
0.866775986	0.451909407
0.866775986	0.452857206
0.866456811	0.450961608
0.866456811	0.452857206
0.866137636	0.451593474
0.866456811	0.458228067
0.866456811	0.457280268
0.867414336	0.458228067
0.866456811	0.459175866
0.866137636	0.457912134
0.867414336	0.459175866
0.866456811	0.458228067
0.866137636	0.458228067
0.865818461	0.457912134
0.866775986	0.458859933
0.866137636	0.458859933
0.866456811	0.460123665
0.866137636	0.459491799
0.865818461	0.460439598
0.864860936	0.459175866
0.866456811	0.458859933
0.866137636	0.460123665
0.865499286	0.458859933
0.866137636	0.460123665
0.865499286	0.459175866
0.865499286	0.456964335
0.865818461	0.457912134
0.865180111	0.457596201
0.865180111	0.457596201
0.864860936	0.457912134
0.864860936	0.456648402
0.865499286	0.458544000
0.865499286	0.456964335
0.865499286	0.458228067
0.865180111	0.457280268
0.865180111	0.453173139
0.865180111	0.452225340
0.866456811	0.453805005
0.866137636	0.453489072
0.865499286	0.452541273
0.866137636	0.452541273
0.865499286	0.452857206
0.865499286	0.453173139
0.864860936	0.452541273
0.865180111	0.453173139
0.864541761	0.457912134
0.864860936	0.459807732
