#x dx y dy
135.011 0.001 0.275 0.015
135.011 0.001 0.275 0.015
135.011 0.001 0.274 0.015
135.011 0.001 0.274 0.015
135.011 0.001 0.275 0.015
135.011 0.001 0.274 0.015
135.011 0.001 0.274 0.015
135.011 0.001 0.275 0.015
135.094 0.001 0.274 0.015
135.094 0.001 0.274 0.015
135.094 0.001 0.274 0.015
135.094 0.001 0.274 0.015
135.094 0.001 0.274 0.015
135.094 0.001 0.275 0.015
135.094 0.001 0.274 0.015
135.094 0.001 0.275 0.015
135.177 0.001 0.274 0.015
135.26 0.001 0.276 0.015
135.26 0.001 0.275 0.015
135.26 0.001 0.274 0.015
135.342 0.001 0.275 0.015
135.342 0.001 0.275 0.015
135.342 0.001 0.275 0.015
135.342 0.001 0.275 0.015
135.342 0.001 0.274 0.015
135.342 0.001 0.274 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.276 0.015
135.425 0.001 0.275 0.015
135.425 0.001 0.275 0.015
135.425 0.001 0.275 0.015
135.425 0.001 0.275 0.015
135.425 0.001 0.274 0.015
135.508 0.001 0.276 0.015
135.508 0.001 0.276 0.015
135.591 0.001 0.277 0.015
135.591 0.001 0.276 0.015
135.591 0.001 0.276 0.015
135.591 0.001 0.276 0.015
135.591 0.001 0.276 0.015
135.591 0.001 0.276 0.015
135.591 0.001 0.275 0.015
135.673 0.001 0.277 0.015
135.673 0.001 0.277 0.015
135.673 0.001 0.277 0.015
135.673 0.001 0.275 0.015
135.673 0.001 0.275 0.015
135.673 0.001 0.276 0.015
135.673 0.001 0.276 0.015
135.673 0.001 0.276 0.015
135.756 0.001 0.277 0.015
135.756 0.001 0.277 0.015
135.756 0.001 0.277 0.015
135.756 0.001 0.275 0.015
135.756 0.001 0.275 0.015
135.756 0.001 0.275 0.015
135.756 0.001 0.276 0.015
135.838 0.001 0.277 0.015
135.838 0.001 0.277 0.015
135.838 0.001 0.275 0.015
135.838 0.001 0.275 0.015
135.838 0.001 0.275 0.015
135.921 0.001 0.279 0.015
135.921 0.001 0.278 0.015
135.921 0.001 0.278 0.015
135.921 0.001 0.278 0.015
135.921 0.001 0.278 0.015
135.921 0.001 0.277 0.015
135.921 0.001 0.275 0.015
135.921 0.001 0.275 0.015
136.003 0.001 0.28 0.015
136.003 0.001 0.279 0.015
136.003 0.001 0.278 0.015
136.003 0.001 0.278 0.015
136.086 0.001 0.28 0.015
136.086 0.001 0.279 0.015
136.086 0.001 0.279 0.015
136.086 0.001 0.279 0.015
136.086 0.001 0.279 0.015
136.086 0.001 0.278 0.015
136.086 0.001 0.278 0.015
136.086 0.001 0.278 0.015
136.168 0.001 0.279 0.015
136.168 0.001 0.28 0.015
136.168 0.001 0.28 0.015
136.168 0.001 0.28 0.015
136.168 0.001 0.28 0.015
136.168 0.001 0.279 0.015
136.168 0.001 0.279 0.015
136.168 0.001 0.278 0.015
136.251 0.001 0.277 0.015
136.251 0.001 0.277 0.015
136.251 0.001 0.279 0.015
136.251 0.001 0.279 0.015
136.251 0.001 0.279 0.015
136.251 0.001 0.28 0.015
136.251 0.001 0.279 0.015
136.251 0.001 0.279 0.015
136.251 0.001 0.28 0.015
136.251 0.001 0.28 0.015
136.251 0.001 0.279 0.015
136.251 0.001 0.279 0.015
136.333 0.001 0.277 0.015
136.333 0.001 0.277 0.015
136.333 0.001 0.279 0.015
136.333 0.001 0.279 0.015
136.333 0.001 0.28 0.015
136.333 0.001 0.28 0.015
136.333 0.001 0.28 0.015
136.333 0.001 0.279 0.015
136.333 0.001 0.279 0.015
136.333 0.001 0.279 0.015
136.333 0.001 0.28 0.015
136.415 0.001 0.277 0.015
136.415 0.001 0.277 0.015
136.415 0.001 0.277 0.015
136.415 0.001 0.277 0.015
136.415 0.001 0.279 0.015
136.415 0.001 0.279 0.015
136.415 0.001 0.279 0.015
136.415 0.001 0.279 0.015
136.415 0.001 0.28 0.015
136.415 0.001 0.28 0.015
136.498 0.001 0.278 0.015
136.498 0.001 0.277 0.015
136.498 0.001 0.277 0.015
136.58 0.001 0.277 0.015
136.58 0.001 0.278 0.015
136.58 0.001 0.277 0.015
136.58 0.001 0.277 0.015
136.662 0.001 0.277 0.015
136.662 0.001 0.277 0.015
136.744 0.001 0.277 0.015
136.744 0.001 0.277 0.015
136.744 0.001 0.278 0.015
136.744 0.001 0.277 0.015
136.744 0.001 0.277 0.015
136.744 0.001 0.278 0.015
136.827 0.001 0.278 0.015
136.827 0.001 0.277 0.015
136.827 0.001 0.278 0.015
136.827 0.001 0.277 0.015
136.909 0.001 0.277 0.015
136.909 0.001 0.276 0.015
136.909 0.001 0.276 0.015
136.909 0.001 0.278 0.015
136.909 0.001 0.278 0.015
136.909 0.001 0.277 0.015
136.909 0.001 0.277 0.015
136.991 0.001 0.277 0.015
136.991 0.001 0.276 0.015
136.991 0.001 0.276 0.015
136.991 0.001 0.278 0.015
136.991 0.001 0.277 0.015
136.991 0.001 0.277 0.015
136.991 0.001 0.278 0.015
136.991 0.001 0.277 0.015
136.991 0.001 0.277 0.015
136.991 0.001 0.277 0.015
137.073 0.001 0.277 0.015
137.073 0.001 0.277 0.015
137.073 0.001 0.277 0.015
137.073 0.001 0.278 0.015
137.073 0.001 0.276 0.015
137.073 0.001 0.276 0.015
137.073 0.001 0.276 0.015
137.073 0.001 0.276 0.015
137.073 0.001 0.276 0.015
137.073 0.001 0.278 0.015
137.155 0.001 0.277 0.015
137.155 0.001 0.277 0.015
137.155 0.001 0.277 0.015
