#x dx y dy
131.079 0.001 0.26 0.015
131.079 0.001 0.26 0.015
131.079 0.001 0.257 0.015
131.079 0.001 0.257 0.015
131.079 0.001 0.257 0.015
131.079 0.001 0.254 0.015
131.079 0.001 0.254 0.015
131.079 0.001 0.249 0.015
131.079 0.001 0.249 0.015
131.079 0.001 0.248 0.015
131.079 0.001 0.248 0.015
131.079 0.001 0.243 0.015
131.163 0.001 0.26 0.015
131.163 0.001 0.26 0.015
131.163 0.001 0.26 0.015
131.163 0.001 0.26 0.015
131.163 0.001 0.26 0.015
131.163 0.001 0.257 0.015
131.163 0.001 0.258 0.015
131.163 0.001 0.257 0.015
131.163 0.001 0.254 0.015
131.163 0.001 0.254 0.015
131.163 0.001 0.254 0.015
131.163 0.001 0.254 0.015
131.163 0.001 0.254 0.015
131.163 0.001 0.249 0.015
131.163 0.001 0.249 0.015
131.163 0.001 0.243 0.015
131.248 0.001 0.26 0.015
131.332 0.001 0.261 0.015
131.332 0.001 0.26 0.015
131.332 0.001 0.26 0.015
131.332 0.001 0.26 0.015
131.332 0.001 0.26 0.015
131.332 0.001 0.254 0.015
131.332 0.001 0.254 0.015
131.416 0.001 0.26 0.015
131.416 0.001 0.261 0.015
131.416 0.001 0.261 0.015
131.416 0.001 0.26 0.015
131.416 0.001 0.26 0.015
131.416 0.001 0.26 0.015
131.416 0.001 0.26 0.015
131.416 0.001 0.26 0.015
131.501 0.001 0.263 0.015
131.501 0.001 0.26 0.015
131.501 0.001 0.261 0.015
131.501 0.001 0.261 0.015
131.501 0.001 0.26 0.015
131.501 0.001 0.26 0.015
131.501 0.001 0.26 0.015
131.585 0.001 0.263 0.015
131.585 0.001 0.263 0.015
131.585 0.001 0.26 0.015
131.585 0.001 0.26 0.015
131.669 0.001 0.263 0.015
131.669 0.001 0.263 0.015
131.669 0.001 0.263 0.015
131.669 0.001 0.263 0.015
131.669 0.001 0.263 0.015
131.754 0.001 0.263 0.015
131.754 0.001 0.263 0.015
131.754 0.001 0.263 0.015
131.754 0.001 0.263 0.015
131.754 0.001 0.263 0.015
131.754 0.001 0.262 0.015
131.754 0.001 0.262 0.015
131.754 0.001 0.262 0.015
131.754 0.001 0.262 0.015
131.754 0.001 0.262 0.015
131.754 0.001 0.263 0.015
131.754 0.001 0.263 0.015
131.922 0.001 0.265 0.015
131.922 0.001 0.263 0.015
131.922 0.001 0.262 0.015
131.922 0.001 0.263 0.015
131.922 0.001 0.263 0.015
131.922 0.001 0.262 0.015
131.922 0.001 0.262 0.015
131.922 0.001 0.262 0.015
131.922 0.001 0.262 0.015
131.922 0.001 0.262 0.015
132.006 0.001 0.267 0.015
132.006 0.001 0.265 0.015
132.006 0.001 0.265 0.015
132.006 0.001 0.263 0.015
132.09 0.001 0.267 0.015
132.09 0.001 0.267 0.015
132.09 0.001 0.268 0.015
132.09 0.001 0.265 0.015
132.09 0.001 0.265 0.015
132.09 0.001 0.266 0.015
132.09 0.001 0.265 0.015
132.09 0.001 0.265 0.015
132.174 0.001 0.268 0.015
132.174 0.001 0.268 0.015
132.174 0.001 0.267 0.015
132.174 0.001 0.267 0.015
132.174 0.001 0.267 0.015
132.174 0.001 0.267 0.015
132.174 0.001 0.268 0.015
132.174 0.001 0.268 0.015
132.174 0.001 0.268 0.015
132.174 0.001 0.268 0.015
132.174 0.001 0.265 0.015
132.174 0.001 0.265 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.267 0.015
132.258 0.001 0.267 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.258 0.001 0.268 0.015
132.342 0.001 0.268 0.015
132.342 0.001 0.268 0.015
132.342 0.001 0.268 0.015
132.342 0.001 0.268 0.015
132.342 0.001 0.267 0.015
132.342 0.001 0.268 0.015
132.426 0.001 0.268 0.015
132.426 0.001 0.268 0.015
132.426 0.001 0.268 0.015
132.51 0.001 0.268 0.015
132.51 0.001 0.268 0.015
132.51 0.001 0.268 0.015
132.51 0.001 0.268 0.015
132.51 0.001 0.268 0.015
132.51 0.001 0.268 0.015
132.594 0.001 0.271 0.015
132.594 0.001 0.271 0.015
132.594 0.001 0.268 0.015
132.594 0.001 0.268 0.015
132.594 0.001 0.268 0.015
132.594 0.001 0.268 0.015
