#x dx y dy
146.55 0.001 0.652 0.015
146.55 0.001 0.652 0.015
146.55 0.001 0.652 0.015
146.62 0.001 0.653 0.015
146.62 0.001 0.653 0.015
146.62 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.7 0.001 0.653 0.015
146.78 0.001 0.653 0.015
146.78 0.001 0.653 0.015
146.78 0.001 0.653 0.015
146.78 0.001 0.653 0.015
146.78 0.001 0.653 0.015
146.78 0.001 0.653 0.015
146.86 0.001 0.653 0.015
146.94 0.001 0.653 0.015
146.94 0.001 0.653 0.015
146.94 0.001 0.653 0.015
147.02 0.001 0.653 0.015
147.02 0.001 0.653 0.015
147.09 0.001 0.653 0.015
147.09 0.001 0.653 0.015
147.09 0.001 0.653 0.015
147.09 0.001 0.653 0.015
147.09 0.001 0.653 0.015
147.09 0.001 0.653 0.015
147.17 0.001 0.654 0.015
147.17 0.001 0.654 0.015
147.17 0.001 0.654 0.015
147.17 0.001 0.654 0.015
147.17 0.001 0.654 0.015
147.25 0.001 0.654 0.015
147.25 0.001 0.654 0.015
147.25 0.001 0.654 0.015
147.33 0.001 0.654 0.015
147.33 0.001 0.654 0.015
147.33 0.001 0.654 0.015
147.49 0.001 0.654 0.015
147.49 0.001 0.654 0.015
147.49 0.001 0.654 0.015
147.49 0.001 0.654 0.015
147.56 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.64 0.001 0.654 0.015
147.72 0.001 0.654 0.015
147.72 0.001 0.654 0.015
147.72 0.001 0.654 0.015
147.72 0.001 0.654 0.015
147.72 0.001 0.654 0.015
147.72 0.001 0.654 0.015
147.8 0.001 0.655 0.015
147.8 0.001 0.655 0.015
147.8 0.001 0.655 0.015
147.8 0.001 0.655 0.015
147.8 0.001 0.655 0.015
147.88 0.001 0.655 0.015
147.88 0.001 0.655 0.015
147.88 0.001 0.655 0.015
