#Chart Recorder Data File Fri, Nov 03, 2017 1:37 PM
#CH1 (V)  	CH2 (V)  
0.631224836	2.296642194
0.631863186	2.298221859
0.631224836	2.296958127
0.631863186	2.298853725
0.631863186	2.297905926
0.631224836	2.298221859
0.631863186	2.298221859
0.631863186	2.298853725
0.632182361	2.299169658
0.631863186	2.297905926
0.631544011	2.298853725
0.629628961	2.288112003
0.630267311	2.286216405
0.630267311	2.287480137
0.630267311	2.286848271
0.629948136	2.287480137
0.630586486	2.287796070
0.630267311	2.287480137
0.629948136	2.287796070
0.631224836	2.285900472
0.630267311	2.288427936
0.630586486	2.289375735
0.630586486	2.288112003
0.629948136	2.288427936
0.630905661	2.287796070
0.630905661	2.288743869
0.630267311	2.288743869
0.630586486	2.287480137
0.630905661	2.289691668
0.630586486	2.288112003
0.630586486	2.288112003
0.631224836	2.300433390
0.631224836	2.302644921
0.630267311	2.301381189
0.630586486	2.301065256
0.630586486	2.301381189
0.630586486	2.301697122
0.631224836	2.301381189
0.630586486	2.300433390
0.631544011	2.301065256
0.630905661	2.299801524
0.628990611	2.302328988
0.629628961	2.304224586
0.629309786	2.302644921
0.629628961	2.303276787
0.629309786	2.302960854
0.629948136	2.303276787
0.629948136	2.303908653
0.629948136	2.303276787
0.628990611	2.303276787
0.628990611	2.293798797
0.628990611	2.294430663
0.628990611	2.294430663
0.629309786	2.294114730
0.628671436	2.295062529
0.629309786	2.293482864
0.629948136	2.295694395
0.629309786	2.294430663
0.629309786	2.294746596
0.629628961	2.294430663
0.629309786	2.294746596
0.628990611	2.292850998
0.629948136	2.293798797
0.629628961	2.292535065
0.628990611	2.294114730
0.629309786	2.292535065
0.629628961	2.292535065
0.629309786	2.293798797
0.628671436	2.291903199
0.628671436	2.292850998
0.629309786	2.292535065
0.628352261	2.290639467
0.628671436	2.292535065
0.629309786	2.291587266
0.628352261	2.291271333
0.628352261	2.291903199
0.628352261	2.291271333
0.628671436	2.292219132
0.628033086	2.291271333
0.628990611	2.292850998
0.628990611	2.291271333
0.628352261	2.292535065
0.628671436	2.291903199
0.628352261	2.291587266
0.628671436	2.292535065
0.628033086	2.290639467
0.628033086	2.293166931
0.628352261	2.291271333
0.628352261	2.291903199
0.628033086	2.291587266
0.628033086	2.293166931
0.628671436	2.288743869
0.628352261	2.289059802
0.628671436	2.287480137
0.627713911	2.289691668
0.627713911	2.288112003
0.628671436	2.288743869
0.628671436	2.288427936
0.628352261	2.288112003
0.628033086	2.289059802
0.627394736	2.296010328
0.628033086	2.295062529
0.627713911	2.296326261
0.627075561	2.295378462
0.627394736	2.296326261
0.627394736	2.295378462
0.627394736	2.296326261
0.627075561	2.295694395
0.627394736	2.296010328
0.628352261	2.295378462
0.628033086	2.296010328
0.627075561	2.300749323
0.627075561	2.300749323
0.628033086	2.300433390
0.627075561	2.301065256
0.627075561	2.300117457
0.627394736	2.300433390
0.627075561	2.300433390
0.627075561	2.300433390
0.626756386	2.300433390
0.627075561	2.300117457
0.626437211	2.295378462
0.626437211	2.297274060
0.625798861	2.296958127
0.626437211	2.296326261
0.626437211	2.297589993
0.626437211	2.296642194
0.627394736	2.297589993
0.626756386	2.296326261
0.626437211	2.297905926
0.626756386	2.296326261
0.626437211	2.302644921
0.626437211	2.302013055
0.626118036	2.303908653
0.627075561	2.302013055
0.626118036	2.301381189
0.625798861	2.302644921
0.626118036	2.301697122
0.626437211	2.301697122
0.625798861	2.301697122
0.626118036	2.302328988
0.626118036	2.317809705
0.626437211	2.316230040
0.625798861	2.317809705
0.626118036	2.318125638
0.626118036	2.317177839
0.626118036	2.316861906
0.626437211	2.317177839
0.625798861	2.317177839
0.626756386	2.317177839
0.626118036	2.318757504
0.626118036	2.318441571
0.626118036	2.318757504
0.625798861	2.317177839
0.625479686	2.318441571
0.625798861	2.318125638
0.625798861	2.318125638
0.625798861	2.317809705
0.626118036	2.318757504
0.626118036	2.318125638
0.625479686	2.318441571
0.625160511	2.320021236
0.625798861	2.318757504
0.624841336	2.320021236
0.625479686	2.318125638
0.624841336	2.319073437
0.625479686	2.318441571
0.625479686	2.319073437
0.625479686	2.319073437
0.625160511	2.318757504
0.625160511	2.319705303
0.625798861	2.313702576
0.625798861	2.314018509
0.624522161	2.312754777
0.625160511	2.313702576
0.624841336	2.313386643
0.625479686	2.314650375
0.624841336	2.311806978
0.625160511	2.314334442
0.624841336	2.313702576
0.624841336	2.313070710
0.624202986	2.310859179
0.624841336	2.309911380
0.623883811	2.311175112
0.624841336	2.310543246
0.624202986	2.309279514
0.624522161	2.310543246
0.623564636	2.310543246
0.624202986	2.309911380
0.624841336	2.309911380
0.624522161	2.310543246
0.623564636	2.316230040
0.624202986	2.317493772
0.623564636	2.316861906
0.623245461	2.316230040
0.623564636	2.316230040
0.623564636	2.317177839
0.623883811	2.317493772
0.623883811	2.316861906
0.623883811	2.317493772
0.623883811	2.315914107
0.623245461	2.312438844
0.623564636	2.313070710
0.623564636	2.312438844
0.623564636	2.313702576
0.623564636	2.312438844
0.622926286	2.312122911
0.622926286	2.312122911
0.623564636	2.313070710
0.624522161	2.311175112
0.624522161	2.312754777
0.623245461	2.309279514
0.623564636	2.309911380
0.622926286	2.308647648
0.622607111	2.309595447
0.623245461	2.309279514
0.623245461	2.309279514
0.623245461	2.308015782
0.623883811	2.310227313
0.623245461	2.308963581
0.622926286	2.308647648
0.623245461	2.318757504
0.623245461	2.318757504
0.622607111	2.318441571
0.623883811	2.320021236
0.623245461	2.319073437
0.623245461	2.319389370
0.623564636	2.319073437
