#x dx y dy
88.073 0.001 0.485 0.015
88.073 0.001 0.459 0.015
88.073 0.001 0.458 0.015
88.073 0.001 0.454 0.015
88.073 0.001 0.454 0.015
88.073 0.001 0.446 0.015
88.073 0.001 0.446 0.015
88.073 0.001 0.437 0.015
88.073 0.001 0.432 0.015
88.073 0.001 0.432 0.015
88.073 0.001 0.427 0.015
88.073 0.001 0.427 0.015
88.073 0.001 0.422 0.015
88.073 0.001 0.422 0.015
88.073 0.001 0.417 0.015
88.073 0.001 0.417 0.015
88.073 0.001 0.417 0.015
88.073 0.001 0.411 0.015
88.073 0.001 0.411 0.015
88.073 0.001 0.411 0.015
88.073 0.001 0.406 0.015
88.073 0.001 0.406 0.015
88.073 0.001 0.406 0.015
88.073 0.001 0.406 0.015
88.073 0.001 0.401 0.015
88.073 0.001 0.401 0.015
88.073 0.001 0.401 0.015
88.073 0.001 0.401 0.015
88.073 0.001 0.395 0.015
88.073 0.001 0.396 0.015
88.073 0.001 0.396 0.015
88.073 0.001 0.395 0.015
88.073 0.001 0.395 0.015
88.073 0.001 0.396 0.015
88.073 0.001 0.396 0.015
88.073 0.001 0.396 0.015
88.073 0.001 0.39 0.015
88.073 0.001 0.39 0.015
88.073 0.001 0.39 0.015
88.073 0.001 0.39 0.015
88.073 0.001 0.385 0.015
88.073 0.001 0.379 0.015
88.073 0.001 0.379 0.015
88.073 0.001 0.373 0.015
88.073 0.001 0.373 0.015
88.073 0.001 0.367 0.015
88.073 0.001 0.367 0.015
88.073 0.001 0.367 0.015
88.073 0.001 0.367 0.015
88.073 0.001 0.367 0.015
88.073 0.001 0.361 0.015
88.073 0.001 0.361 0.015
88.073 0.001 0.361 0.015
88.073 0.001 0.35 0.015
88.073 0.001 0.35 0.015
88.073 0.001 0.35 0.015
88.073 0.001 0.338 0.015
88.073 0.001 0.337 0.015
88.073 0.001 0.331 0.015
88.073 0.001 0.331 0.015
88.073 0.001 0.325 0.015
88.073 0.001 0.297 0.015
88.073 0.001 0.292 0.015
88.184 0.001 0.496 0.015
88.184 0.001 0.485 0.015
88.184 0.001 0.485 0.015
88.184 0.001 0.485 0.015
88.184 0.001 0.485 0.015
88.184 0.001 0.477 0.015
88.184 0.001 0.475 0.015
88.184 0.001 0.475 0.015
88.184 0.001 0.475 0.015
88.184 0.001 0.469 0.015
88.184 0.001 0.465 0.015
88.184 0.001 0.465 0.015
88.184 0.001 0.465 0.015
88.184 0.001 0.466 0.015
88.184 0.001 0.466 0.015
88.184 0.001 0.462 0.015
88.184 0.001 0.458 0.015
88.184 0.001 0.458 0.015
88.184 0.001 0.458 0.015
88.184 0.001 0.458 0.015
88.184 0.001 0.454 0.015
88.184 0.001 0.45 0.015
88.184 0.001 0.45 0.015
88.184 0.001 0.446 0.015
88.184 0.001 0.446 0.015
88.184 0.001 0.442 0.015
88.184 0.001 0.442 0.015
88.184 0.001 0.442 0.015
88.184 0.001 0.442 0.015
88.184 0.001 0.437 0.015
88.184 0.001 0.437 0.015
88.184 0.001 0.437 0.015
88.184 0.001 0.437 0.015
88.184 0.001 0.437 0.015
88.184 0.001 0.437 0.015
88.184 0.001 0.432 0.015
88.184 0.001 0.432 0.015
88.184 0.001 0.432 0.015
88.184 0.001 0.432 0.015
88.184 0.001 0.432 0.015
88.184 0.001 0.427 0.015
88.184 0.001 0.427 0.015
88.184 0.001 0.427 0.015
88.184 0.001 0.427 0.015
88.184 0.001 0.422 0.015
88.184 0.001 0.422 0.015
88.184 0.001 0.422 0.015
88.184 0.001 0.422 0.015
88.184 0.001 0.417 0.015
88.184 0.001 0.417 0.015
88.184 0.001 0.416 0.015
88.184 0.001 0.417 0.015
88.184 0.001 0.411 0.015
88.184 0.001 0.401 0.015
88.184 0.001 0.395 0.015
88.184 0.001 0.39 0.015
88.184 0.001 0.39 0.015
88.184 0.001 0.39 0.015
88.184 0.001 0.385 0.015
88.184 0.001 0.385 0.015
88.184 0.001 0.379 0.015
88.184 0.001 0.379 0.015
88.184 0.001 0.379 0.015
88.184 0.001 0.367 0.015
88.184 0.001 0.367 0.015
88.184 0.001 0.367 0.015
88.184 0.001 0.367 0.015
88.184 0.001 0.367 0.015
88.184 0.001 0.361 0.015
88.184 0.001 0.361 0.015
88.184 0.001 0.361 0.015
88.184 0.001 0.35 0.015
88.184 0.001 0.35 0.015
88.184 0.001 0.35 0.015
88.184 0.001 0.331 0.015
88.184 0.001 0.314 0.015
88.295 0.001 0.496 0.015
88.295 0.001 0.496 0.015
88.295 0.001 0.49 0.015
88.295 0.001 0.489 0.015
88.295 0.001 0.487 0.015
88.295 0.001 0.485 0.015
88.295 0.001 0.48 0.015
88.295 0.001 0.48 0.015
88.295 0.001 0.477 0.015
88.295 0.001 0.474 0.015
88.295 0.001 0.475 0.015
88.295 0.001 0.475 0.015
88.295 0.001 0.475 0.015
88.295 0.001 0.469 0.015
88.295 0.001 0.469 0.015
88.295 0.001 0.469 0.015
88.295 0.001 0.465 0.015
88.295 0.001 0.465 0.015
88.295 0.001 0.465 0.015
88.295 0.001 0.465 0.015
88.295 0.001 0.458 0.015
88.295 0.001 0.454 0.015
88.295 0.001 0.45 0.015
88.295 0.001 0.45 0.015
88.295 0.001 0.45 0.015
88.295 0.001 0.446 0.015
88.295 0.001 0.446 0.015
88.295 0.001 0.442 0.015
88.295 0.001 0.442 0.015
88.295 0.001 0.437 0.015
88.295 0.001 0.427 0.015
88.295 0.001 0.422 0.015
88.295 0.001 0.416 0.015
88.295 0.001 0.406 0.015
88.295 0.001 0.373 0.015
88.295 0.001 0.367 0.015
88.295 0.001 0.361 0.015
88.295 0.001 0.35 0.015
88.406 0.001 0.501 0.015
88.406 0.001 0.5 0.015
88.406 0.001 0.496 0.015
88.406 0.001 0.496 0.015
88.406 0.001 0.496 0.015
88.406 0.001 0.49 0.015
88.406 0.001 0.49 0.015
88.406 0.001 0.49 0.015
88.406 0.001 0.489 0.015
88.406 0.001 0.489 0.015
88.406 0.001 0.487 0.015
88.406 0.001 0.487 0.015
88.406 0.001 0.487 0.015
88.406 0.001 0.487 0.015
88.406 0.001 0.487 0.015
88.406 0.001 0.485 0.015
88.406 0.001 0.485 0.015
88.406 0.001 0.485 0.015
88.406 0.001 0.483 0.015
88.406 0.001 0.483 0.015
88.406 0.001 0.483 0.015
88.406 0.001 0.483 0.015
88.406 0.001 0.483 0.015
88.406 0.001 0.48 0.015
88.406 0.001 0.48 0.015
88.406 0.001 0.477 0.015
88.406 0.001 0.477 0.015
88.406 0.001 0.477 0.015
88.406 0.001 0.477 0.015
88.406 0.001 0.477 0.015
88.406 0.001 0.477 0.015
88.406 0.001 0.475 0.015
88.406 0.001 0.475 0.015
88.406 0.001 0.475 0.015
88.406 0.001 0.472 0.015
88.406 0.001 0.472 0.015
88.406 0.001 0.472 0.015
88.406 0.001 0.469 0.015
88.406 0.001 0.469 0.015
88.406 0.001 0.469 0.015
88.406 0.001 0.462 0.015
88.406 0.001 0.462 0.015
88.406 0.001 0.458 0.015
88.406 0.001 0.454 0.015
88.406 0.001 0.454 0.015
88.406 0.001 0.454 0.015
88.406 0.001 0.45 0.015
88.406 0.001 0.45 0.015
88.406 0.001 0.45 0.015
88.406 0.001 0.45 0.015
88.406 0.001 0.446 0.015
88.406 0.001 0.446 0.015
88.406 0.001 0.446 0.015
88.406 0.001 0.442 0.015
88.406 0.001 0.442 0.015
88.406 0.001 0.437 0.015
88.406 0.001 0.437 0.015
88.406 0.001 0.427 0.015
88.406 0.001 0.422 0.015
88.406 0.001 0.422 0.015
88.406 0.001 0.416 0.015
88.406 0.001 0.416 0.015
88.406 0.001 0.362 0.015
88.517 0.001 0.501 0.015
88.517 0.001 0.5 0.015
88.517 0.001 0.5 0.015
88.517 0.001 0.497 0.015
88.517 0.001 0.496 0.015
88.517 0.001 0.496 0.015
88.517 0.001 0.495 0.015
88.517 0.001 0.495 0.015
88.517 0.001 0.494 0.015
88.517 0.001 0.492 0.015
88.517 0.001 0.492 0.015
88.517 0.001 0.492 0.015
88.517 0.001 0.492 0.015
88.517 0.001 0.492 0.015
88.517 0.001 0.49 0.015
88.517 0.001 0.487 0.015
88.517 0.001 0.487 0.015
88.517 0.001 0.485 0.015
88.517 0.001 0.483 0.015
88.517 0.001 0.483 0.015
88.517 0.001 0.48 0.015
88.517 0.001 0.48 0.015
88.517 0.001 0.478 0.015
88.517 0.001 0.472 0.015
88.517 0.001 0.472 0.015
88.517 0.001 0.472 0.015
88.517 0.001 0.472 0.015
88.517 0.001 0.469 0.015
88.517 0.001 0.469 0.015
88.517 0.001 0.462 0.015
88.517 0.001 0.462 0.015
88.517 0.001 0.462 0.015
88.517 0.001 0.462 0.015
88.517 0.001 0.458 0.015
88.517 0.001 0.454 0.015
88.517 0.001 0.454 0.015
88.517 0.001 0.446 0.015
88.517 0.001 0.442 0.015
88.517 0.001 0.442 0.015
88.628 0.001 0.501 0.015
88.628 0.001 0.501 0.015
88.628 0.001 0.501 0.015
88.628 0.001 0.5 0.015
88.628 0.001 0.5 0.015
88.628 0.001 0.5 0.015
88.628 0.001 0.5 0.015
88.628 0.001 0.499 0.015
88.628 0.001 0.499 0.015
88.628 0.001 0.498 0.015
88.628 0.001 0.498 0.015
88.628 0.001 0.497 0.015
88.628 0.001 0.497 0.015
88.628 0.001 0.497 0.015
88.628 0.001 0.496 0.015
88.628 0.001 0.496 0.015
88.628 0.001 0.495 0.015
88.628 0.001 0.495 0.015
88.628 0.001 0.495 0.015
88.628 0.001 0.495 0.015
88.628 0.001 0.493 0.015
88.628 0.001 0.494 0.015
88.628 0.001 0.492 0.015
88.628 0.001 0.492 0.015
88.628 0.001 0.491 0.015
88.628 0.001 0.49 0.015
88.628 0.001 0.49 0.015
88.628 0.001 0.489 0.015
88.628 0.001 0.489 0.015
88.628 0.001 0.489 0.015
88.628 0.001 0.487 0.015
88.628 0.001 0.487 0.015
88.628 0.001 0.483 0.015
88.628 0.001 0.483 0.015
88.628 0.001 0.48 0.015
88.628 0.001 0.48 0.015
88.628 0.001 0.472 0.015
88.628 0.001 0.472 0.015
88.628 0.001 0.469 0.015
88.628 0.001 0.462 0.015
88.628 0.001 0.462 0.015
88.628 0.001 0.462 0.015
88.628 0.001 0.454 0.015
88.628 0.001 0.442 0.015
88.738 0.001 0.504 0.015
88.738 0.001 0.504 0.015
88.738 0.001 0.504 0.015
88.738 0.001 0.504 0.015
88.738 0.001 0.504 0.015
88.738 0.001 0.503 0.015
88.738 0.001 0.503 0.015
88.738 0.001 0.502 0.015
88.738 0.001 0.502 0.015
88.738 0.001 0.502 0.015
88.738 0.001 0.501 0.015
88.738 0.001 0.501 0.015
88.738 0.001 0.501 0.015
88.738 0.001 0.501 0.015
88.738 0.001 0.501 0.015
88.738 0.001 0.5 0.015
88.738 0.001 0.499 0.015
88.738 0.001 0.499 0.015
88.738 0.001 0.499 0.015
88.738 0.001 0.499 0.015
88.738 0.001 0.498 0.015
88.738 0.001 0.498 0.015
88.738 0.001 0.497 0.015
88.738 0.001 0.497 0.015
88.738 0.001 0.497 0.015
88.738 0.001 0.497 0.015
88.738 0.001 0.495 0.015
88.738 0.001 0.494 0.015
88.738 0.001 0.495 0.015
88.738 0.001 0.493 0.015
88.738 0.001 0.493 0.015
88.738 0.001 0.492 0.015
88.738 0.001 0.492 0.015
88.738 0.001 0.491 0.015
88.738 0.001 0.489 0.015
88.738 0.001 0.489 0.015
88.738 0.001 0.489 0.015
88.738 0.001 0.489 0.015
88.738 0.001 0.48 0.015
88.738 0.001 0.477 0.015
